tokens,BIO
"['Дэвис', 'ушел', 'в', 'отставку', 'в', 'воскресенье', 'из-за', 'несогласия', 'с', 'новой', 'правительственной', 'стратегией', 'сотрудничества', 'Великобритании', 'с', 'ЕС', 'после', 'Brexit', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'B-EVT', 'O']"
"['Также', 'он', 'отметил', ',', 'что', '""', 'не', 'убежден', '""', ',', 'что', 'тактика', 'переговоров', 'правительства', '""', 'не', 'приведет', 'лишь', 'к', 'новым', 'требованиям', 'уступок', '""', 'со', 'стороны', 'Брюсселя', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Последний', 'раз', 'консерваторы', 'меняли', 'своего', 'премьера', 'в', '2003', 'году', ',', 'когда', 'Иана', 'Дункана', 'Смита', 'сменил', 'Майкл', 'Говард', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']"
"['Д', '.']","['B-PER', 'I-PER']"
"['Оправдание', 'обвиненной', 'в', 'богохульстве', 'женщины', 'вызвало', 'многотысячные', 'протесты', 'в', 'Пакистане', 'Оправдательный', 'приговор', 'Верховного', 'суда', 'Пакистана', ',', 'вынесенный', 'Азии', 'Биби', ',', 'обвинявшейся', 'в', 'богохульстве', 'и', 'приговоренной', 'к', 'смертной', 'казни', ',', 'вызвал', 'массовые', 'протесты', 'в', 'Пакистане', ',', 'сообщает', 'Сообщается', ',', 'что', 'тысячи', 'протестующих', 'вышли', 'на', 'улицы', 'и', 'начали', 'поджигать', 'рикши', ',', 'автомобили', 'и', 'грузовики', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Сегодня', 'же', 'стало', 'известно', ',', 'что', 'королева', 'Великобритании', 'одобрила', 'его', 'назначение', 'на', 'новую', 'должность', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Большую', 'часть', 'из', 'последних', 'восьми', 'лет', 'женщина', 'провела', 'в', 'одиночной', 'камере', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Об', 'отставке', 'Джонсона', 'говорится', 'в', 'заявлении', 'с', 'Даунинг-стрит', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['На', 'прошлой', 'неделе', 'под', 'давлением', 'The', 'New', 'York', 'Times', 'он', 'признал', 'факт', 'четвертой', 'встречи', '.']","['O', 'O', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Мусульманки', ',', 'вместе', 'с', 'которыми', 'она', 'собирала', 'фрукты', ',', 'отказались', 'пить', 'из', 'ведра', 'с', 'водой', ',', 'из', 'которого', 'пила', 'она', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Информация', 'о', 'нём', 'не', 'раскрывается', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['По', 'их', 'мнению', ',', 'Асия', 'Биби', 'могла', 'осквернить', 'воду', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['Группа', 'женщин', 'обвинила', 'Биби', 'в', 'том', ',', 'что', 'та', 'выпила', 'воды', 'из', 'общего', 'ведра', 'и', 'тем', 'самым', 'сделала', 'ее', 'нечистой', 'своей', 'христианской', 'верой', '.']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Кроме', 'этого', ',', 'адвокат', 'духовного', 'лица', 'в', 'провинции', 'Пенджаб', ',', 'который', 'инициировал', 'судебное', 'разбирательство', 'в', 'отношении', 'Биби', ',', 'подал', 'апелляцию', 'в', 'Верховный', 'суд', 'на', 'освобождение', 'христианки', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['Как', 'следует', 'из', 'письма', 'об', 'отставке', ',', 'Дэвис', 'обвинил', 'премьера', 'в', 'том', ',', 'что', 'из-за', 'ее', 'политики', '""', 'при', 'самом', 'лучшем', 'раскладе', '""', 'позиции', 'Лондона', 'на', 'переговорах', 'с', 'ЕС', 'по', '""', 'Брекзиту', '""', 'окажутся', 'ослаблены', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'O']"
"['Ранее', 'были', 'найдены', 'убитыми', 'два', 'политика', ',', 'которые', 'хотели', 'помочь', 'осужденной', 'христианке', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['д', '.']","['O', 'O']"
"['Теперь', 'Биби', 'опасается', ',', 'что', 'после', 'освобождения', 'ей', 'и', 'ее', 'близким', 'опасно', 'будет', 'оставаться', 'в', 'Пакистане', '.']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['»', 'Екатерина', 'Мареева', 'Лидеры', 'стран', 'ЕС', 'открыли', 'дорогу', 'решающей', 'фазе', 'переговоров', 'по', '«', 'Брекситу', '»', ',', 'подписав', 'в', 'марте', 'соглашение', 'о', '21-месячном', 'переходном', 'периоде', 'и', 'ключевые', 'тезисы', 'об', 'отношениях', 'блока', 'с', 'Великобританией', 'после', 'выхода', 'страны', 'из', 'Европейского', 'союза', '.']","['O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Референдум', 'о', 'выходе', 'Великобритании', 'из', 'Евросоюза', 'прошел', 'летом', '2016', 'года', '.']","['B-EVT', 'I-EVT', 'I-EVT', 'B-LOC', 'B-EVT', 'I-EVT', 'O', 'O', 'O', 'O', 'O']"
"['С', 'этой', 'метафорой', 'и', 'предстоит', 'сражаться', 'на', 'конференции', 'главе', 'правительства', 'Альбиона', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Новый', 'глава', 'МИД', 'Джереми', 'Хант', 'раньше', 'руководил', 'минздравом', '.']","['O', 'O', 'B-ORG', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['Протесты', 'против', 'ее', 'освобождения', 'начались', 'почти', 'сразу', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Об', 'этом', 'The', 'Guardian', '.']","['O', 'O', 'B-PRO', 'I-PRO', 'O']"
"['Д', '.']","['B-PER', 'I-PER']"
"['После', 'вспышки', 'протестов', 'в', 'Пакистане', 'против', 'оправдания', 'Асии', 'Биби', 'правительство', ',', 'как', 'сообщается', ',', 'начало', 'процесс', ',', 'в', 'результате', 'которого', 'ее', 'имя', 'будет', 'добавлено', 'в', 'список', 'людей', ',', 'которым', 'запрещено', 'покидать', 'страну', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Тысячи', 'разгневанных', 'демонстрантов', 'недавно', 'вышли', 'на', 'улицы', 'в', 'крупных', 'городах', '—', 'Исламабаде', 'и', 'Лахоре', ',', 'требуя', 'исполнения', 'Биби', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'B-PER', 'O']"
"['Название', ':', 'NTV', '.']","['O', 'O', 'O', 'O']"
"['В', 'своем', 'заявлении', 'об', 'уходе', 'Дэвис', 'написал', ',', 'что', '""', 'нынешняя', 'тенденция', 'в', 'политике', 'и', 'тактике', '""', 'делает', '""', 'все', 'менее', 'и', 'менее', 'вероятным', '""', 'выход', 'Великобритании', 'из', 'таможенного', 'союза', 'и', 'общего', 'рынка', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['Об', 'этом', 'журналистам', 'рассказали', 'источники', 'из', 'офиса', 'премьера', 'страны', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'правительство', 'он', 'вошел', 'после', 'победы', 'Консервативной', 'партии', 'на', 'выборах', 'в', 'июне', '2016-го', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['31', 'октября', 'Верховный', 'суд', 'Пакистана', 'вынес', '46-летней', 'матери', 'пятерых', 'детей', 'Асии', 'Биби', 'смертный', 'приговор', 'за', 'якобы', '«', 'уничижительные', 'высказывания', '»', 'об', 'исламе', ':', 'еще', 'в', '2009', 'году', 'она', 'работала', 'на', 'сборе', 'ягод', 'в', 'деревне', ',', 'где', 'выпила', 'воды', 'из', '«', 'мусульманского', 'колодца', '»', ',', 'а', 'работавшие', 'с', 'ней', 'мусульманки', 'обвинили', 'женщину', 'в', 'том', ',', 'что', 'она', '«', 'осквернила', 'воду', '»', '.']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['12', 'марта', 'премьер-министр', 'Великобритании', 'Тереза', 'Мэй', 'заявила', 'в', 'парламенте', ',', 'что', 'они', 'были', 'отравлены', 'нервно-паралитическим', 'веществом', 'Новичок', '(', 'А-234', ')', ',', 'разработанным', 'в', 'России', '.']","['O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Накануне', 'ультрарелигиозная', 'партия', '""', 'Техрик-э-Лабаик', 'Пакистан', '""', '(', 'ТЛП', ')', 'и', 'пакистанское', 'правительство', 'заключили', 'соглашение', ',', 'существование', 'которого', 'подтвердил', ',', 'в', 'частности', ',', 'министр', 'по', 'делам', 'религии', 'Нур-уль-Хак', 'Кадри', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['Пакистанский', 'адвокат', 'защитил', 'женщину', 'от', 'казни', 'за', 'богохульство', 'и', 'теперь', 'боится', ',', 'что', 'его', 'убьют', 'Пакистанский', 'адвокат', 'Сайфул', 'Малук', ',', 'который', 'защитил', 'в', 'суде', 'христианку', 'Азию', 'Биби', 'от', 'смертного', 'приговора', 'за', 'богохульство', ',', 'покинул', 'страну', 'опасаясь', 'за', 'свою', 'жизнь', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Дипломаты', 'из', 'ЕС', 'обречены', 'ждать', ',', 'пока', 'в', 'Великобритании', 'закончится', 'борьба', 'за', 'власть', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Сегодня', 'протестующие', 'начали', 'блокировать', 'автомагистрали', ',', 'власти', 'были', 'вынуждены', 'отменить', 'занятия', 'в', 'школах', 'и', 'институтах', ',', 'опасаясь', 'там', 'волнений', 'молодежи', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Дэвиса', 'в', 'последние', 'месяцы', 'всё', 'больше', 'оттесняли', 'на', 'периферию', ',', 'отмечает', 'FT', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'O']"
"['31', 'октября', 'судьи', 'постановили', ',', 'что', 'доказательств', 'ее', 'вины', 'недостаточно', ',', 'а', 'признательные', 'показания', 'она', 'дала', 'под', 'давлением', 'следствия', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Британский', 'премьер', 'назначила', 'нового', 'министра', 'по', 'Brexit', 'Британский', 'премьер', 'назначила', 'нового', 'министра', 'по', 'Brexit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O']"
"['Ряд', 'немецких', 'епископов', 'и', 'неправительственных', 'организаций', 'выразили', 'обеспокоенность', 'в', 'связи', 'с', 'делом', 'Биби', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Он', 'заявил', ',', 'что', 'никогда', 'и', 'в', 'мыслях', 'у', 'него', 'не', 'было', 'подсидеть', 'Мэй', 'и', 'занять', 'ее', 'место', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O']"
"['Назначение', 'случилось', 'наименее', 'чем', 'через', '12', 'часов', 'после', 'того', ',', 'как', 'Дэвис', 'ушел', 'в', 'отставку', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O']"
"['Ее', 'слова', 'касались', 'и', 'Бориса', 'Джонсона', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['Кроме', 'того', ',', 'лидер', 'ТЛП', 'призвал', 'отправить', 'в', 'отставку', 'правительство', 'премьер-министра', 'Имрана', 'Хана', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['О', 'преемнике', 'будет', 'объявлено', 'позже', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Кроме', 'того', ',', 'она', 'была', 'первой', 'дамой', ',', 'приговоренной', 'в', 'Пакистане', 'к', 'повешению', 'за', 'оскорбление', 'пророка', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Завязалась', 'перебранка', ',', 'в', 'процессе', 'которой', ',', 'по', 'обвинению', 'соседок', ',', 'Норин', 'предположила', 'три', 'оскорбительных', 'слова', 'в', 'адрес', 'Пророка', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['-', 'Прим', '.']","['O', 'O', 'O']"
"['Активно', 'поддерживает', 'женщину', 'и', 'мировое', 'сообщество', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Сейчас', 'адвокат', 'семьи', 'пытается', 'выяснить', ',', 'могут', 'ли', 'Асию', 'с', 'родными', 'принять', 'в', 'Нидерландах', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Новым', 'министром', 'Великобритании', 'по', 'вопросам', 'Brexit', 'назначен', 'Доминик', 'Рааб', ',', 'который', 'ранее', 'занимал', 'пост', 'замминистра', 'по', 'делам', 'регионов', 'и', 'местного', 'самоуправления', '.']","['O', 'O', 'B-LOC', 'O', 'O', 'B-EVT', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['По', 'ее', 'словам', ',', 'Москва', 'предупреждала', ',', 'что', '""', 'грязная', 'интрига', '""', 'с', 'отравлениями', '""', 'плачевно', 'закончится', 'для', 'правительства', 'Терезы', 'Мэй', '""', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
"['Читать', 'далее', 'Министерство', 'иностранных', 'дел', 'Великобритании', 'возглавил', 'человек', ',', 'который', 'прежде', 'ни', 'дня', 'не', 'занимался', 'внешней', 'политикой', '.']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RU', 'Эл', '№', 'ФС', '77-69486', 'Учредитель', '(', 'соучредители', ')', 'СМИ', 'сетевого', 'издания', '«', 'NTV', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO']"
"['Наполеон', ',', 'Гитлер', 'и', 'другие', 'хотели', 'сделать', 'нечто', 'подобное', ',', 'но', 'плохо', 'кончили', '""', '.']","['B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Единственное', ',', 'что', 'может', 'изменить', 'курс', 'в', 'отношении', 'России', ',', 'это', 'выборы', 'и', 'победа', 'на', 'них', 'лейбористов', ',', 'считает', 'Джеймс', 'Шерр', 'из', 'Chatham', 'House', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Дэвис', 'принял', 'решение', 'об', 'отставке', 'через', 'несколько', 'дней', 'после', 'закрытой', 'встречи', 'премьер-министра', 'Терезы', 'Мэй', 'с', 'членами', 'ее', 'кабинета', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Однако', 'эксперты', 'Международного', 'валютного', 'фонда', 'предполагают', ',', 'что', 'в', 'случае', 'такого', 'сценария', 'Лондон', 'потеряет', 'значительно', 'больше', ',', 'чем', 'единая', 'Европа', '.']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Об', 'этом', 'сообщает', '4', 'ноября', 'BBC', 'News', '.']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Короткие', 'результаты', 'саммита', 'состоят', 'в', 'том', ',', 'что', 'Тереза', 'Мэй', 'так', 'и', 'не', 'смогла', 'придумать', 'решение', 'по', 'основной', 'проблеме', 'Brexit', '—', 'что', 'делать', 'с', 'границей', 'между', 'Северной', 'Ирландией', 'и', 'Ирландией', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'O', 'B-LOC', 'O']"
"['Джонсон', 'впервые', 'назвал', 'причину', 'отставки', '-', 'Мэй', 'отреагировала', 'Экс-глава', 'МИД', 'Великобритании', 'Борис', 'Джонсон', 'впервые', 'объяснил', ',', 'почему', 'ушел', 'в', 'отставку', ',', 'отметив', ',', 'что', 'больше', 'не', 'мог', 'оставаться', 'в', 'правительстве', ',', 'понимая', ',', 'что', 'его', 'взгляды', 'относительно', 'Brexit', 'не', 'разделяют', 'большинство', 'членов', 'парламента', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-ORG', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Ашик', 'Масих', '(', 'Ashiq', 'Masih', ')', 'утверждает', ',', 'что', 'в', 'Пакистане', 'они', 'подвергаются', 'смертельной', 'опасности', ',', 'сообщает', 'Хотя', 'Верховный', 'суд', 'отменил', 'смертный', 'приговор', 'женщине', ',', 'сочтя', 'дело', 'бездоказательным', ',', 'исламисты', 'угрожают', 'расправой', 'и', 'требуют', 'казнить', 'ее', 'по', 'закону', '.']","['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Биби', 'была', 'признана', 'виновной', 'в', 'оскорблении', 'пророка', 'Мухаммеда', ',', 'что', ',', 'в', 'соответствии', 'с', 'законодательством', 'Пакистана', ',', 'влечет', 'за', 'собой', 'высшую', 'меру', 'наказания', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Дэвис', 'счел', 'его', 'слишком', 'большой', 'уступкой', 'ЕС', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Материалы', ',', 'отмеченные', 'знаком', ',', 'плашками', 'Новости', 'компаний', ',', 'Выборы', '2019', ',', 'публикуются', 'на', 'правах', 'рекламы', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'Сегодня', 'днем', 'премьер-министр', 'приняла', 'отставку', 'Бориса', 'Джонсона', 'с', 'поста', 'министра', 'иностранных', 'дел', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Мэй', '.']","['I-PER', 'O']"
"['По', 'словам', 'обвинительницы', ',', 'Биби', 'ответила', 'на', 'эту', 'фразу', 'так', ':', '«', 'Я', 'верю', 'в', 'Иисуса', 'Христа', ',', 'который', 'умер', 'на', 'кресте', 'за', 'грехи', 'человечества', '.']","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['—', 'Nigel', 'Farage', '(', '@', 'Nigel_Farage', ')', '9', 'июля', '2018', 'г', '.']","['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'Пакистане', 'оправдана', 'христианка', ',', 'приговоренная', 'к', 'смерти', 'за', 'богохульство', 'Мо', 'c', 'ква', ',', '31', 'октября', '-', 'АиФ-Москва', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Об', 'этом', 'сообщает', 'Причиной', 'для', 'смертного', 'приговора', 'стали', 'оскорбления', 'в', 'адрес', 'пророка', 'Мухаммада', ',', 'которые', 'Асия', 'Биби', 'якобы', 'произнесла', 'во', 'время', 'ссоры', 'с', 'группой', 'соседок', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Это', 'не', 'первая', 'апелляцию', ',', 'которую', 'подают', 'неравнодушные', 'к', 'делу', 'Азии', 'Биби', ',', 'а', 'также', 'к', 'положению', 'христиан', 'в', 'Пакистане', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Ко', 'всем', 'прочим', 'причинам', 'вынужденного', 'изменения', 'отношений', 'в', 'последние', 'недели', 'добавилась', 'еще', 'одна', ':', 'чемпионат', 'мира', 'по', 'футболу', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'I-EVT', 'I-EVT', 'I-EVT', 'O']"
"['Я', 'могу', 'только', 'сожалеть', ',', 'что', 'идея', 'Brexit', 'не', 'ушла', 'с', 'Дэвисом', 'и', 'Джонсоном', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O', 'O', 'B-PER', 'O', 'B-PER', 'O']"
"['Информировалось', 'о', 'глубоких', 'разногласиях', 'в', 'руководстве', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
